provincia;municipio;sexo;total
02 Albacete;N/A;Ambos sexos;9.625
02 Albacete;N/A;Hombres;4.746
02 Albacete;N/A;Mujeres;4.879
02 Albacete;02001 Abengibre;Ambos sexos;61
02 Albacete;02001 Abengibre;Hombres;28
02 Albacete;02001 Abengibre;Mujeres;33
02 Albacete;02002 Alatoz;Ambos sexos;32
02 Albacete;02002 Alatoz;Hombres;13
02 Albacete;02002 Alatoz;Mujeres;19
02 Albacete;02003 Albacete;Ambos sexos;3.827
02 Albacete;02003 Albacete;Hombres;1.935
02 Albacete;02003 Albacete;Mujeres;1.890
02 Albacete;02004 Albatana;Ambos sexos;39
02 Albacete;02004 Albatana;Hombres;16
02 Albacete;02004 Albatana;Mujeres;23
02 Albacete;02005 Alborea;Ambos sexos;31
02 Albacete;02005 Alborea;Hombres;16
02 Albacete;02005 Alborea;Mujeres;15
02 Albacete;02006 Alcadozo;Ambos sexos;34
02 Albacete;02006 Alcadozo;Hombres;16
02 Albacete;02006 Alcadozo;Mujeres;18
02 Albacete;02007 Alcalá del Júcar;Ambos sexos;42
02 Albacete;02007 Alcalá del Júcar;Hombres;17
02 Albacete;02007 Alcalá del Júcar;Mujeres;25
02 Albacete;02008 Alcaraz;Ambos sexos;71
02 Albacete;02008 Alcaraz;Hombres;36
02 Albacete;02008 Alcaraz;Mujeres;35
02 Albacete;02009 Almansa;Ambos sexos;318
02 Albacete;02009 Almansa;Hombres;163
02 Albacete;02009 Almansa;Mujeres;155
02 Albacete;02010 Alpera;Ambos sexos;51
02 Albacete;02010 Alpera;Hombres;25
02 Albacete;02010 Alpera;Mujeres;26
02 Albacete;02011 Ayna;Ambos sexos;88
02 Albacete;02011 Ayna;Hombres;46
02 Albacete;02011 Ayna;Mujeres;42
02 Albacete;02012 Balazote;Ambos sexos;13
02 Albacete;02012 Balazote;Hombres;7
02 Albacete;02012 Balazote;Mujeres;6
02 Albacete;02013 Balsa de Ves;Ambos sexos;6
02 Albacete;02013 Balsa de Ves;Hombres;2
02 Albacete;02013 Balsa de Ves;Mujeres;4
02 Albacete;02014 Ballestero, El;Ambos sexos;3
02 Albacete;02014 Ballestero, El;Hombres;1
02 Albacete;02014 Ballestero, El;Mujeres;2
02 Albacete;02015 Barrax;Ambos sexos;32
02 Albacete;02015 Barrax;Hombres;16
02 Albacete;02015 Barrax;Mujeres;16
02 Albacete;02016 Bienservida;Ambos sexos;18
02 Albacete;02016 Bienservida;Hombres;8
02 Albacete;02016 Bienservida;Mujeres;10
02 Albacete;02017 Bogarra;Ambos sexos;68
02 Albacete;02017 Bogarra;Hombres;33
02 Albacete;02017 Bogarra;Mujeres;35
02 Albacete;02018 Bonete;Ambos sexos;40
02 Albacete;02018 Bonete;Hombres;21
02 Albacete;02018 Bonete;Mujeres;19
02 Albacete;02019 Bonillo, El;Ambos sexos;42
02 Albacete;02019 Bonillo, El;Hombres;24
02 Albacete;02019 Bonillo, El;Mujeres;18
02 Albacete;02020 Carcelén;Ambos sexos;24
02 Albacete;02020 Carcelén;Hombres;10
02 Albacete;02020 Carcelén;Mujeres;14
02 Albacete;02021 Casas de Juan Núñez;Ambos sexos;20
02 Albacete;02021 Casas de Juan Núñez;Hombres;9
02 Albacete;02021 Casas de Juan Núñez;Mujeres;11
02 Albacete;02022 Casas de Lázaro;Ambos sexos;15
02 Albacete;02022 Casas de Lázaro;Hombres;6
02 Albacete;02022 Casas de Lázaro;Mujeres;9
02 Albacete;02023 Casas de Ves;Ambos sexos;153
02 Albacete;02023 Casas de Ves;Hombres;67
02 Albacete;02023 Casas de Ves;Mujeres;86
02 Albacete;02024 Casas-Ibáñez;Ambos sexos;126
02 Albacete;02024 Casas-Ibáñez;Hombres;54
02 Albacete;02024 Casas-Ibáñez;Mujeres;72
02 Albacete;02025 Caudete;Ambos sexos;193
02 Albacete;02025 Caudete;Hombres;99
02 Albacete;02025 Caudete;Mujeres;94
02 Albacete;02026 Cenizate;Ambos sexos;28
02 Albacete;02026 Cenizate;Hombres;11
02 Albacete;02026 Cenizate;Mujeres;17
02 Albacete;02027 Corral-Rubio;Ambos sexos;5
02 Albacete;02027 Corral-Rubio;Hombres;0
02 Albacete;02027 Corral-Rubio;Mujeres;5
02 Albacete;02028 Cotillas;Ambos sexos;3
02 Albacete;02028 Cotillas;Hombres;1
02 Albacete;02028 Cotillas;Mujeres;2
02 Albacete;02029 Chinchilla de Monte-Aragón;Ambos sexos;48
02 Albacete;02029 Chinchilla de Monte-Aragón;Hombres;19
02 Albacete;02029 Chinchilla de Monte-Aragón;Mujeres;29
02 Albacete;02030 Elche de la Sierra;Ambos sexos;85
02 Albacete;02030 Elche de la Sierra;Hombres;40
02 Albacete;02030 Elche de la Sierra;Mujeres;45
02 Albacete;02031 Férez;Ambos sexos;7
02 Albacete;02031 Férez;Hombres;5
02 Albacete;02031 Férez;Mujeres;2
02 Albacete;02032 Fuensanta;Ambos sexos;9
02 Albacete;02032 Fuensanta;Hombres;5
02 Albacete;02032 Fuensanta;Mujeres;4
02 Albacete;02033 Fuente-Álamo;Ambos sexos;51
02 Albacete;02033 Fuente-Álamo;Hombres;25
02 Albacete;02033 Fuente-Álamo;Mujeres;26
02 Albacete;02034 Fuentealbilla;Ambos sexos;49
02 Albacete;02034 Fuentealbilla;Hombres;24
02 Albacete;02034 Fuentealbilla;Mujeres;25
02 Albacete;02035 Gineta, La;Ambos sexos;34
02 Albacete;02035 Gineta, La;Hombres;12
02 Albacete;02035 Gineta, La;Mujeres;22
02 Albacete;02036 Golosalvo;Ambos sexos;6
02 Albacete;02036 Golosalvo;Hombres;4
02 Albacete;02036 Golosalvo;Mujeres;2
02 Albacete;02037 Hellín;Ambos sexos;974
02 Albacete;02037 Hellín;Hombres;456
02 Albacete;02037 Hellín;Mujeres;518
02 Albacete;02038 Herrera, La;Ambos sexos;7
02 Albacete;02038 Herrera, La;Hombres;4
02 Albacete;02038 Herrera, La;Mujeres;3
02 Albacete;02039 Higueruela;Ambos sexos;49
02 Albacete;02039 Higueruela;Hombres;18
02 Albacete;02039 Higueruela;Mujeres;31
02 Albacete;02040 Hoya-Gonzalo;Ambos sexos;17
02 Albacete;02040 Hoya-Gonzalo;Hombres;8
02 Albacete;02040 Hoya-Gonzalo;Mujeres;9
02 Albacete;02041 Jorquera;Ambos sexos;36
02 Albacete;02041 Jorquera;Hombres;13
02 Albacete;02041 Jorquera;Mujeres;23
02 Albacete;02042 Letur;Ambos sexos;50
02 Albacete;02042 Letur;Hombres;23
02 Albacete;02042 Letur;Mujeres;27
02 Albacete;02043 Lezuza;Ambos sexos;47
02 Albacete;02043 Lezuza;Hombres;23
02 Albacete;02043 Lezuza;Mujeres;24
